id,place_name,county,country,grid_reference,easting,northing,latitude,longitude,postcode_area,type
1,Aaron's Hill,Surrey,England,SU9543,495500,143500,51.18276,-0.63503,GU7 2,Other
2,Abbas Combe,Somerset,England,ST7022,370500,122500,51.00113,-2.42178,BA8 0,Other
3,Abberley,Worcestershire,England,SO7467,374500,267500,52.30502,-2.37541,WR6 6,Other
4,Abberton,Essex,England,TM0019,600500,219500,51.83810,0.90891,CO5 7,Other
5,Abberton,Worcestershire,England,SO9953,399500,253500,52.17975,-2.00873,WR10 2,Other
6,Abbess End,Essex,England,TL5711,557500,211500,51.78000,0.28172,CM5 0,Other
7,Abbess Roding,Essex,England,TL5711,557500,211500,51.78000,0.28172,CM5 0,Other
8,Abbey,Devon,England,ST1410,314500,110500,50.88764,-3.21690,EX15 3,Other
9,Abbeycwmhir,Powys,Wales,SO0571,305500,271500,52.33342,-3.38828,LD1 6,Other
11,Abbeydale,South Yorkshire,England,SK3282,432500,382500,53.33841,-1.51337,S7 2,Other
10,Abbeydale,Gloucestershire,England,SO8616,386500,216500,51.84693,-2.19738,GL4 5,Other
12,Abbeydale Park,South Yorkshire,England,SK3180,431500,380500,53.32049,-1.52859,S17 3,Other
13,Abbey Dore,Herefordshire,England,SO3830,338500,230500,51.96955,-2.89663,HR2 0,Other
14,Abbey Field,Essex,England,TL9924,599500,224500,51.88336,0.89730,CO2 7,Other
15,Abbey Gate,Kent,England,TQ7558,575500,158500,51.29857,0.51599,ME14 3,Other
16,Abbey Gate,Devon,England,SY2997,329500,97500,50.77278,-3.00118,EX13 5,Other
17,Abbey Green,Shropshire,England,SJ5033,350500,333500,52.89665,-2.73726,SY13 2,Other
18,Abbey Green,Staffordshire,England,SJ9757,397500,357500,53.11468,-2.03880,ST13 8,Other
19,Abbey Hey,Greater Manchester,England,SJ8996,389500,396500,53.46514,-2.15963,M18 8,Other
20,Abbeyhill,City of Edinburgh,Scotland,NT2774,327500,674500,55.95803,-3.16277,EH7 5,Other
21,Abbey Hulton,Staffordshire,England,SJ9148,391500,348500,53.03371,-2.12820,ST2 8,Other
22,Abbey Mead,Surrey,England,TQ0467,504500,167500,51.39692,-0.49929,KT16 8,Other
23,Abbey St Bathans,Scottish Borders,Scotland,NT7662,376500,662500,55.85512,-2.37696,TD11 3,Other
24,Abbeystead,Lancashire,England,SD5654,356500,454500,53.98471,-2.66485,LA2 9,Other
25,Abbeytown,Cumbria,England,NY1750,317500,550500,54.84249,-3.28619,CA7 4,Other
26,Abbey Village,Lancashire,England,SD6422,364500,422500,53.69772,-2.53915,PR6 8,Other
27,Abbey Wood,Greenwich - Greater London,England,TQ4678,546550,178550,51.48692,0.10933,SE2 0,Other
28,Abbey Yard,Dumfries and Galloway,Scotland,NX7364,273500,564500,54.95903,-3.97713,DG7 2,Other
29,Abbots Bickington,Devon,England,SS3813,238500,113500,50.89833,-4.29798,EX22 7,Other
30,Abbots Bromley,Staffordshire,England,SK0824,408500,324500,52.81797,-1.87532,WS15 3,Other
31,Abbotsbury,Dorset,England,SY5785,357500,85500,50.66761,-2.60274,DT3 4,Other
32,Abbotsford,West Sussex,England,TQ3020,530500,120500,50.96914,-0.14281,RH15 8,Other
33,Abbotsham,Devon,England,SS4226,242500,126500,51.01625,-4.24677,EX39 5,Other
34,Abbotskerswell,Devon,England,SX8568,285500,68500,50.50507,-3.61599,TQ12 5,Other
35,Abbots Langley,Hertfordshire,England,TL0901,509500,201500,51.70157,-0.41688,WD5 0,Other
36,Abbotsleigh,Devon,England,SX8048,280500,48500,50.32428,-3.68010,TQ9 7,Other
37,Abbots Leigh,Somerset,England,ST5473,354500,173500,51.45864,-2.65628,BS8 3,Other
38,Abbotsley,Cambridgeshire,England,TL2256,522500,256500,52.19314,-0.20928,PE19 6,Other
39,Abbot's Meads,Cheshire,England,SJ3967,339500,367500,53.20112,-2.90716,CH1 5,Other
40,Abbots Morton,Worcestershire,England,SP0255,402500,255500,52.19773,-1.96484,WR7 4,Other
